title,url,domain,month,fb_engagements,category
"""Obama Signs Executive Order Banning The Pledge Of Allegiance In Schools Nationwide""",http://abcnews.com.co/obama-executive-order-bans-pledge-of-allegiance-in-schools/,abcnews.com.co,October,2176777,Politics
"""Woman arrested for defecating on boss’ desk after winning the lottery""",https://thevalleyreport.com/2016/04/25/woman-arrested-for-defecating-on-boss-desk-after-winning-the-lottery/,thevalleyreport.com,April,1765146,Crime
"""Pope Francis Shocks World, Endorses Donald Trump for President, Releases Statement""",Ending The Fed (removed),ending the fed (removed),October,961000,Politics
"""Trump Offering Free One-Way Tickets to Africa &amp; Mexico for Those Who Wanna Leave America""",http://tmzhiphop.com/trump-offering-free-one-way-tickets-to-africa-mexico-for-those-who-wanna-leave-america/,tmzhiphop.com,November,801741,Politics
"""Cinnamon Roll Can Explodes Inside Man’s Butt During Shoplifting Incident""",https://empireherald.com/cinnamon-roll-can-explodes-inside-mans-butt-during-shoplifting-incident/,empireherald.com,April,764814,Crime
"""Florida man dies in meth-lab explosion after lighting farts on fire"" ",https://thevalleyreport.com/2016/02/13/florida-man-dies-in-meth-lab-explosion-after-lighting-farts-on-fire/,thevalleyreport.com,February,668842,Crime
"""FBI Agent Suspected in Hillary Email Leaks Found Dead in Apparent Murder-Suicide""",Denver Guardian (removed),denver guardian (removed),November,567000,Politics
"""RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album""",http://heaviermetal.net/rage-against-the-machine-to-reunite-release-donald-trump-diss-album,heaviermetal.net,March,560038,Politics
"""Police Find 19 White Female Bodies In Freezers With “Black Lives Matter” Carved Into Skin""",http://tmzhiphop.com/police-find-19-white-female-bodies-in-freezers-with-black-lives-matter-carved-into-skin/,tmzhiphop.com,May,525066,Crime
"""ISIS Leader Calls for American Muslim Voters to Support Hillary Clinton""",http://worldnewsdailyreport.com/isis-leader-calls-for-american-muslim-voters-to-support-hillary-clinton/,worldnewsdailyreport.com,October,522812,Politics
Hillary Clinton In 2013: “I Would Like To See People Like Donald Trump Run For Office; They’re Honest And Can’t Be Bought”,http://conservativestate.com/hillary-clinton-2013-like-see-people-like-donald-trump-run-office-theyre-honest-cant-bought/,conservativestate.com,October,507000,Politics
"""Woman Stabbed Her Husband To Death Because He Wouldn't Eat Her ASS!""",http://tmzhiphop.com/woman-stabbed-her-husband-to-death-because-he-wouldnt-eat-her-ass/,tmzhiphop.com,April,444568,Crime
"""Robredo: If Elected Vice President Of Duterte, I Will Immediately Resign My Post""",https://adobochronicles.com/2016/05/01/robredo-if-elected-vice-president-of-duterte-i-will-immediately-resign-my-post/,adobochronicles.com,May,442915,World
"""Woman murders college roommate for sending too many Candy Crush requests""",https://thevalleyreport.com/2016/03/08/woman-murders-college-roommate-for-sending-too-many-candy-crush-requests/,thevalleyreport.com,March,438599,Crime
"""Donald Trump Protester Speaks Out: ""I Was Paid $3,500 To Protest Trump's Rally""",http://abcnews.com.co/donald-trump-protester-speaks-out-i-was-paid-to-protest/,abcnews.com.co,October,426972,Politics
"""Drug Kingpin Joaquin 'El Chapo' Guzman Escapes Mexican Prison For The Third Time""",http://abcnews.com.co/drug-kingpin-el-chapo-escapes-mexican-prison-once-again/,abcnews.com.co,October,426081,World
Obama passed law for grandparents to get all their grandchildren every weekend,http://www.react365.com/580fed9b781bd/obama-passed-law-for-grandparents-to-get-all-their-grandchildren-every-weekend.html,react365.com,October,399700,Politics
"""President Obama Confirms He Will Refuse To Leave Office If Trump Is Elected""",http://www.burrardstreetjournal.com/obama-refusing-to-leave-if-trump-elected/,burrardstreetjournal.com,September,383724,Politics
"""Mexican Drug Lord ‘El Chapo’ Breaks Out Of Prison For 3rd Time"" ",http://www.satiratribune.com/2016/02/11/mexican-drug-lord-el-chapo-breaks-out-of-prison-for-3rd-time/,satiratribune.com,February,380645,World
"Van Full Of Illegals Shows Up To Vote Clinton At SIX Polling Places, Still Think Voter Fraud Is A Myth?",http://thelastlineofdefense.org/van-full-of-illegals-shows-up-to-vote-clinton-at-six-polling-places-still-think-voter-fraud-is-a-myth/,thelastlineofdefense.org,November,366702,Politics
"""Chick-fil-A President Dan Cathy – 'We Don’t Like The Blacks Either'""",http://tmzhiphop.com/chick-fil-a-president-dan-cathy-we-dont-like-the-blacks-either/,tmzhiphop.com,July,364566,Race
"""Security Detail Tackles Homeless Man On Oscars Red Carpet, Turned Out To Be Rob Zombie""",http://heaviermetal.net/security-detail-tackles-homeless-man-on-oscars-red-carpet-turns-out-to-be-rob-zombie,heaviermetal.net,February,357176,Music
"""Man shoots off his own penis taking selfies with gun"" ",https://thevalleyreport.com/2016/03/14/man-shoots-off-his-own-penis-taking-selfies-with-gun/,thevalleyreport.com,March,352256,Crime
Pence: “Michelle Obama Is The Most Vulgar First Lady We’ve Ever Had” ,http://www.usanewsflash.com/pence-michelle-obama-vulgar-first-lady-weve-ever/,usanewsflash.com,October,352000,Politics
"""Pro-Lifers Declare ""Ejaculation Is Murder: Every Sperm Cell Is A Life"" ",http://straightstoned.com/pro-lifers-declare-ejaculation-murder-every-sperm-cell-life/,straightstoned.com,May,342546,Sexuality
"""Man’s Penis Gets Ripped Off After Attempting To Rape A Pit Bull""",https://empireherald.com/mans-penis-gets-ripped-off-after-attempting-to-rape-a-pit-bull/,empireherald.com,February,342046,Crime
Fort Wayne Man Dressed As Clown Shot In Head; Condition Critical - Daily Finesser,https://www.dailyfinesser.com/fort-wayne-man-dressed-clown-shot-head-condition-critical/,dailyfinesser.com,October,333684,Crime
Rupaul claims Trump touched him inappropriately in the 1990s,http://worldnewsdailyreport.com/rupaul-claims-trump-touched-him-inappropriately-in-the-1990s/,worldnewsdailyreport.com,October,301193,Politics
Los Angeles Tap Water Contains 12% Xanax and 4% OxyCodone,http://www.satiratribune.com/2016/04/13/los-angeles-tap-water-contains-12-xanax-4-oxycodone/,satiratribune.com,April,293462,Science
"Saudi Arabia: Panel of Scientists admits Women are Mammals, yet ‘Not Human’",http://worldnewsdailyreport.com/saudi-arabia-panel-of-scientists-admits-women-are-mammals-yet-not-human/,worldnewsdailyreport.com,March,290599,Science
African Billionaire Will Give $1 Million To Anyone Who Wants To Leave America if Donald Trump is Elected President,https://empireherald.com/back-to-africa-movement-to-help-blacks-leave-america-if-donald-trump-becomes-president/,empireherald.com,March,279277,Politics
"Girl Infects 586 Men With HIV On Purpose, Plans On Infecting 2,000 More Before 2017 - TRENDING",http://tmzhiphop.com/girl-infects-586-men-with-hiv-on-purpose-plans-on-infecting-2000-more-before-2017/,tmzhiphop.com,July,278434,Crime
Casey Anthony Starts Home Daycare Business In Florida,http://thebostontribune.com/casey-anthony-obtains-florida-business-license-for-home-daycare/,thebostontribune.com,August,274458,Crime
"Daycare Busted Running Toddler Fightclub, Parents Outraged",http://www.celebtricity.com/daycare-busted-running-toddler-fightclub-parents-outraged/,celebtricity.com,July,260853,Crime
Obama Signs Executive Order Declaring Investigation Into Election Results; Revote Planned For Dec. 19th,http://abcnews.com.co/obama-signs-executive-order-declaring-investigation-of-election-results/,abcnews.com.co,November,258902,Politics
"Mike Pence: “Sarah Palin Is My Role Model For Beautiful, Smart American Women” - Newslo",http://politicops.com/mike-pence-sarah-palin-role-model-beautiful-smart-american-women/,politicops.com,September,253959,Politics
Graham Says Christians Must Support Trump or Face Death Camps,http://bizstandardnews.com/2016/07/23/graham-says-christians-must-support-trump-or-face-death-camps/,bizstandardnews.com,July,247045,Politics
BREAKING Romanian Hacker With Access To Clinton Emails Found Dead In Jail Cell,Christian Times (removed),christian times (removed),July,242500,Politics
The United States Revokes Scientology's Tax-Exempt Status - ABC News,http://abcnews.com.co/united-states-revokes-scientologys-tax-exempt-status/,abcnews.com.co,March,241665,Religion
Michael Jordan Says I Won’t Release Another Shoe Until Black People Unite - TRENDING,http://tmzhiphop.com/michael-jordan-says-i-wont-release-another-shoe-until-black-people-unite/,tmzhiphop.com,July,239396,Race
Woman With Too Much Makeup Mistaken As Clown; Attacked By Angry Mob - Daily Finesser,https://www.dailyfinesser.com/woman-with-too-much-makeup-mistaken-as-clown-attacked-by-angry-mob/,dailyfinesser.com,October,236192,Crime
WHOA! Hillary Caught On Hot Mic Trashing Beyonce’ With RACIAL SLURS!,http://thelastlineofdefense.org/woah-hillary-caught-on-hot-mic-trashing-beyonce-with-racial-slurs/,thelastlineofdefense.org,November,232084,Politics
"Atlanta Officer Kills Black Woman, Injures Child, Following Breastfeeding Argument",http://baltimoregazette.com/atlanta-officer-kills-black-woman-following-breastfeeding-argument/,baltimoregazette.com,September,221455,Crime
Woman Puts Poison On Her Vagina To Kill Husband When He Went Down On Her,http://www.celebtricity.com/woman-puts-poison-on-her-vagina-to-kill-husband-when-he-went-down-on-her/,celebtricity.com,July,211837,Crime
Morgue worker arrested after giving birth to a dead man’s baby,http://worldnewsdailyreport.com/morgue-worker-arrested-after-giving-birth-to-a-dead-mans-baby/,worldnewsdailyreport.com,January,211367,Crime
Actor Bill Murray Announces 2016 Presidential Run,http://abcnews.com.co/actor-bill-murray-announces-2016-presidential-run/,abcnews.com.co,January,209719,Politics
"Pope Francis Shocks World, Endorses Hillary Clinton for President, Releases Statement",http://kypo6.com/breaking/pope-francis-shocks-world-endorses-hillary-clinton-for-president-releases-statement/,kypo6.com,July,203100,Politics
"Babysitter Discovers “Clown Doll” In Kid’s Room Was A Real Person, Raping The Child At Night - TRENDING",http://tmzhiphop.com/babysitter-discovers-clown-doll-in-kids-room-was-a-real-person-raping-the-child-at-night/,tmzhiphop.com,April,198614,Politics
Trump Claims America Should Never Have Given Canada Its Independence,http://www.burrardstreetjournal.com/trump-canada-independence-was-mistake/,burrardstreetjournal.com,July,198558,Politics
Zimbabwe: Pride of lions kills 5 poachers and injures 3 others,http://worldnewsdailyreport.com/zimbabwe-pride-of-lions-kills-5-poachers-and-injures-3-others/,worldnewsdailyreport.com,March,184897,Animals
