title,url,domain,fb_engagements,published_date,category
Babysitter transported to hospital after inserting a baby in her vagina,http://worldnewsdailyreport.com/babysitter-transported-to-hospital-after-inserting-a-baby-in-her-vagina/,worldnewsdailyreport.com,1204400,2017-05-03,Medical
"FBI seizes over 3,000 penises during raid at morgue employee’s home",http://worldnewsdailyreport.com/fbi-seizes-over-3000-penises-during-raid-at-morgue-employees-home/,worldnewsdailyreport.com,1145470,2017-09-25,Crime
"Charles Manson to be released on parole, to Johnson County, TX",http://www.breakingnews365.net/59690fb994b9c/charles-manson-to-be-released-on-parole-to-johnson-county-tx.html,breakingnews365.net,1125031,2017-07-14,Crime
Police: Chester Bennington Was Murdered,http://yournewswire.com/chester-bennington-murdered/,yournewswire.com,1042032,2017-07-21,Crime
Morgue employee cremated by mistake while taking a nap,https://worldnewsdailyreport.com/morgue-employee-cremated-by-mistake-while-taking-a-nap/,worldnewsdailyreport.com,993205,2017-03-01,Crime
Angry Woman Cuts Off Man's Penis for Not Making Eye Contact During Sex - TRENDING,http://viralmugshot.com/angry-woman-cuts-off-mans-penis-for-not-making-eye-contact-during-sex/,viralmugshot.com,981423,2017-02-15,Crime
Female Legislators Unveil 'Male Ejaculation Bill' Forbidding The Disposal Of Unused Semen,http://www.burrardstreetjournal.com/female-legislators-unveil-male-ejaculation-bill/,burrardstreetjournal.com,966498,2017-01-23,Politics
President Trump Orders the Execution of Five Turkeys Pardoned by Obama,http://realnewsrightnow.com/2017/01/president-trump-orders-execution-five-turkeys-pardoned-obama/,realnewsrightnow.com,914429,2017-01-24,Politics
Elderly woman accused of training her 65 cats to steal from neighbors,http://worldnewsdailyreport.com/elderly-woman-accused-of-training-her-65-cats-to-steal-from-neighbors/,worldnewsdailyreport.com,690437,2017-06-23,Medical
Couple hospitalized after man gets his head stuck in his wife’s vagina,http://worldnewsdailyreport.com/couple-hospitalized-after-man-gets-his-head-stuck-in-his-wifes-vagina/,worldnewsdailyreport.com,672093,2017-11-03,Crime
Colorado: Hunter claims he was sexually assaulted by a sasquatch,http://worldnewsdailyreport.com/colorado-hunter-claims-he-was-sexually-assaulted-by-a-sasquatch/,worldnewsdailyreport.com,618761,2017-09-14,Medical
"Las Vegas: Video Confirms Multiple Shooters, Co-ordinated Attack",http://yournewswire.com/las-vegas-video-multiple-shootes/,yournewswire.com,607065,2017-05-11,Breaking News
BREAKING: NFL Fines Pittsburgh Steelers $1m Each For Skipping National Anthem,http://thelastlineofdefense.org/breaking-nfl-fines-pittsburgh-steelers-1m-each-for-skipping-national-anthem/,thelastlineofdefense.org,590091,2017-10-02,Crime
LAW PASSED: All Child Support in the United States Will End by Beginning of 2018,http://tmzbreaking.com/law-passed-all-child-support-in-the-united-states-will-end-by-beginning-of-2018,tmzbreaking.com,558201,2017-09-24,Politics
Popeyes manager arrested for allegedly dipping chicken in cocaine based flour to increase business sales. - Channel22News.com,http://channel22news.com/popeyes-manager-arrested-for-allegedly-dipping-chicken-in-cocaine-based-flour-to-increase-business-sales/,channel22news.com,545320,2017-09-20,Politics
White Baseball Players Kneel in the 50's to protest Black Lynchings,http://www.breakingnews247.net/59f31b71e36be/white-baseball-players-kneel-in-the-50-s-to-protest-black-lynchings.html,breakingnews247.net,497070,2017-05-02,Crime
CIA Agent Confesses On Deathbed: 'We Blew Up WTC 7 On 9/11',http://yournewswire.com/cia-911-wtc7/,yournewswire.com,423549,2017-07-14,Politics
Celebrities Call For 'Total Hollywood Strike' Until Trump Resigns,http://yournewswire.com/hollywood-strike-trump-resign/,yournewswire.com,416123,2017-11-07,Politics
NPR: 25 Million Votes For Clinton 'Completely Fake',http://yournewswire.com/npr-25-million-fake-clinton-votes/,yournewswire.com,394781,2017-07-13,Politics
World's most popular candy to be removed from shelves by October 2017!,http://www.breakingnews247.net/59bc13819a723/world-s-most-popular-candy-to-be-removed-from-shelves-by-october-2017.html,breakingnews247.net,390453,2017-01-09,Politics
Se extiende la edad para jubilarse,http://www.12minutos.com/58f7d2c435970/se-extiende-la-edad-para-jubilarse.html,12minutos.com,389957,2017-01-29,Politics
Hendersonville Man Caught Molesting Pig after his penis gets stuck,http://sundayinquirer.com/2017/06/12/hendersonville-man-caught-molesting-pig-after-his-penis-gets-stuck/,sundayinquirer.com,365853,2017-09-15,Crime
