,count_2016,count_2017
tmzhiphop.com,7,0
abcnews.com.co,6,0
worldnewsdailyreport.com,5,12
thevalleyreport.com,4,0
empireherald.com,3,0
burrardstreetjournal.com,2,1
dailyfinesser.com,2,0
thelastlineofdefense.org,2,1
satiratribune.com,2,0
celebtricity.com,2,1
heaviermetal.net,2,0
usanewsflash.com,1,0
kypo6.com,1,0
politicops.com,1,0
react365.com,1,1
christian times (removed),1,0
bizstandardnews.com,1,0
conservativestate.com,1,0
baltimoregazette.com,1,0
denver guardian (removed),1,0
adobochronicles.com,1,0
thebostontribune.com,1,0
ending the fed (removed),1,0
straightstoned.com,1,0
sundayinquirer.com,0,1
12minutos.com,0,2
tmzbreaking.com,0,1
viralactions.com,0,2
viralmugshot.com,0,1
theseattletribune.com,0,1
empirenews.net,0,1
redcountry.us,0,1
realnewsrightnow.com,0,1
noticias-frescas.com,0,1
abcnews-us.com,0,1
civictribune.com,0,1
channel45news.com,0,2
channel28news.com,0,1
channel24news.com,0,1
channel22news.com,0,1
breakingnews365.net,0,2
breakingnews247.net,0,2
borderherald.com,0,1
actualite.co,0,1
yournewswire.com,0,9
